ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
14,0.000,0.000,0.000,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/venv/lib/python3.11/site-packages/tqdm/std.py:102(acquire)
4,0.000,0.000,0.000,0.000,/usr/lib/python3.11/logging/__init__.py:1319(disable)
10,0.000,0.000,0.000,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/Peer.py:20(__init__)
8250,0.004,0.000,0.006,0.000,/usr/lib/python3.11/logging/__init__.py:1467(debug)
4240,0.002,0.000,0.003,0.000,/usr/lib/python3.11/logging/__init__.py:1479(info)
8,0.000,0.000,0.000,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/venv/lib/python3.11/site-packages/tqdm/std.py:451(fp_write)
1,0.000,0.000,0.000,0.000,/usr/lib/python3.11/weakref.py:104(__init__)
2,0.000,0.000,0.000,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/venv/lib/python3.11/site-packages/tqdm/std.py:1441(moveto)
1,0.000,0.000,0.000,0.000,/usr/lib/python3.11/weakref.py:347(__new__)
1,0.000,0.000,0.000,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/venv/lib/python3.11/site-packages/tqdm/std.py:708(<lambda>)
4,0.000,0.000,0.000,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/venv/lib/python3.11/site-packages/tqdm/std.py:1153(_comparable)
70,0.000,0.000,0.016,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/Peer.py:136(broadcast_msg)
3488,0.001,0.000,0.001,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/venv/lib/python3.11/site-packages/tqdm/utils.py:375(<genexpr>)
2,0.000,0.000,0.000,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/venv/lib/python3.11/site-packages/tqdm/std.py:438(status_printer)
10,0.000,0.000,0.000,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/Block.py:104(__init__)
8,0.000,0.000,0.002,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/venv/lib/python3.11/site-packages/tqdm/std.py:1150(__str__)
4,0.000,0.000,0.000,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/venv/lib/python3.11/site-packages/tqdm/std.py:1157(__hash__)
8,0.000,0.000,0.000,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/venv/lib/python3.11/site-packages/tqdm/utils.py:108(__init__)
2,0.000,0.000,0.000,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/venv/lib/python3.11/site-packages/tqdm/utils.py:125(__eq__)
1,0.000,0.000,0.014,0.014,/mnt/AB/IITB/CS765/IITB_CS765_A01/venv/lib/python3.11/site-packages/tqdm/std.py:90(__init__)
2,0.000,0.000,0.000,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/venv/lib/python3.11/site-packages/tqdm/utils.py:252(_is_utf)
70,0.000,0.000,0.002,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/Transaction.py:10(__init__)
1,0.000,0.000,0.000,0.000,/usr/lib/python3.11/weakref.py:352(__init__)
14,0.000,0.000,0.000,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/venv/lib/python3.11/site-packages/tqdm/std.py:106(release)
2,0.000,0.000,0.014,0.007,/mnt/AB/IITB/CS765/IITB_CS765_A01/venv/lib/python3.11/site-packages/tqdm/std.py:760(get_lock)
4,0.000,0.000,0.000,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/venv/lib/python3.11/site-packages/tqdm/std.py:1286(fp_write)
24,0.000,0.000,0.002,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/venv/lib/python3.11/site-packages/tqdm/utils.py:378(disp_len)
24,0.000,0.000,0.002,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/venv/lib/python3.11/site-packages/tqdm/utils.py:374(_text_width)
2,0.000,0.000,0.000,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/venv/lib/python3.11/site-packages/tqdm/utils.py:282(_screen_shape_wrapper)
2,0.000,0.000,0.000,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/venv/lib/python3.11/site-packages/tqdm/utils.py:266(_supports_unicode)
38253,0.021,0.000,0.033,0.000,/usr/lib/python3.11/inspect.py:1749(currentframe)
8,0.000,0.000,0.000,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/venv/lib/python3.11/site-packages/tqdm/std.py:153(__init__)
6,0.000,0.000,0.002,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/venv/lib/python3.11/site-packages/tqdm/std.py:1325(refresh)
1,0.000,0.000,0.000,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/venv/lib/python3.11/site-packages/tqdm/std.py:98(<listcomp>)
8,0.000,0.000,0.000,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/venv/lib/python3.11/site-packages/tqdm/std.py:163(colour)
8304,0.003,0.000,0.010,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/simulation.py:229(<lambda>)
61,0.000,0.000,0.000,0.000,/usr/lib/python3.11/enum.py:916(<lambda>)
2,0.000,0.000,0.000,0.000,/usr/lib/python3.11/enum.py:1758(<listcomp>)
4,0.000,0.000,0.000,0.000,/usr/lib/python3.11/enum.py:1638(_simple_enum)
1,0.000,0.000,0.000,0.000,/usr/lib/python3.11/_weakrefset.py:37(__init__)
1,0.000,0.000,0.000,0.000,/usr/lib/python3.11/threading.py:1324(_make_invoke_excepthook)
8304,0.005,0.000,0.006,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/simulation.py:164(update_progressbars)
61,0.000,0.000,0.000,0.000,/usr/lib/python3.11/enum.py:79(_is_private)
12490,0.003,0.000,0.004,0.000,/usr/lib/python3.11/logging/__init__.py:1734(isEnabledFor)
4160,0.001,0.000,0.001,0.000,/usr/lib/python3.11/enum.py:1256(value)
4,0.000,0.000,0.000,0.000,/usr/lib/python3.11/logging/__init__.py:228(_acquireLock)
2,0.000,0.000,0.000,0.000,/usr/lib/python3.11/threading.py:562(__init__)
2,0.000,0.000,0.000,0.000,/usr/lib/python3.11/_weakrefset.py:21(__enter__)
3,0.000,0.000,0.000,0.000,/usr/lib/python3.11/threading.py:575(is_set)
1,0.000,0.000,0.000,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/venv/lib/python3.11/site-packages/tqdm/_monitor.py:94(report)
31558,0.011,0.000,0.019,0.000,/usr/lib/python3.11/threading.py:271(__enter__)
1,0.000,0.000,0.000,0.000,/usr/lib/python3.11/threading.py:280(_release_save)
1,0.000,0.000,0.000,0.000,/usr/lib/python3.11/threading.py:283(_acquire_restore)
2,0.000,0.000,0.000,0.000,/usr/lib/python3.11/_weakrefset.py:17(__init__)
1,0.000,0.000,0.000,0.000,/usr/lib/python3.11/threading.py:1206(daemon)
2,0.000,0.000,0.000,0.000,/usr/lib/python3.11/functools.py:393(__get__)
4160,0.002,0.000,0.003,0.000,/usr/lib/python3.11/enum.py:193(__get__)
2,0.000,0.000,0.000,0.000,/usr/lib/python3.11/threading.py:243(__init__)
31557,0.015,0.000,0.034,0.000,/usr/lib/python3.11/threading.py:366(notify)
1,0.000,0.000,0.000,0.000,/usr/lib/python3.11/random.py:119(__init__)
8304,0.006,0.000,0.014,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/simulation.py:201(simulation_hooks)
1,0.000,0.000,0.000,0.000,/usr/lib/python3.11/random.py:493(<listcomp>)
115,0.000,0.000,0.000,0.000,/usr/lib/python3.11/random.py:520(uniform)
5,0.000,0.000,0.000,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/venv/lib/python3.11/site-packages/_distutils_hack/__init__.py:96(<lambda>)
60,0.000,0.000,0.000,0.000,/usr/lib/python3.11/enum.py:1149(__init__)
70,0.000,0.000,0.005,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/Peer.py:106(generate_random_txn)
75,0.000,0.000,0.000,0.000,/usr/lib/python3.11/enum.py:826(__setattr__)
61,0.000,0.000,0.000,0.000,/usr/lib/python3.11/enum.py:38(_is_descriptor)
